,WORK_STRAM,SESSION_NAME,JOB_INIT_DATE,FREQUENCY,USED_TOOL
0,STG,s_m_STG_TRM_ZDT_ERST,04-JUL-18,Daily,INFORMATICA
1,STG,s_m_STG_TRM_ZDT_ERTD,04-JUL-18,Daily,INFORMATICA
2,STG,s_m_STG_TRM_ZDT_MCI_ERRLOG,09-MAY-18,Daily,INFORMATICA
3,STG,s_m_STG_TRM_ZDT_OBJ_CASE,25-DEC-18,Daily,INFORMATICA
4,STG,s_m_STG_TRM_ZDT_SADAD_CHECK,02-DEC-18,Daily,INFORMATICA
5,STG,s_m_STG_TRM_ZDT_SADAD_LOG,27-NOV-18,Daily,INFORMATICA
6,STG,s_m_STG_TRM_ZDT_SADAD_PAYMT,27-NOV-18,Daily,INFORMATICA
7,STG,s_m_STG_TRM_ZDT_SADAD_RECON,28-NOV-18,Daily,INFORMATICA
8,STG,s_m_STG_TRM_ZDT_SADAD_RF_HD,02-DEC-18,Daily,INFORMATICA
9,STG,s_m_STG_TRM_ZDT_SADAD_RF_IT,24-DEC-18,Daily,INFORMATICA
10,STG,s_m_STG_TRM_ZDT_SADAD_RF_RES,18-FEB-19,Daily,INFORMATICA
11,STG,s_m_STG_TRM_ZDT_VCASE_HD,03-DEC-18,Daily,INFORMATICA
12,STG,s_m_STG_TRM_ZDT_VCASE_IT,03-DEC-18,Daily,INFORMATICA
13,STG,s_m_STG_TRM_ZDT_VTQA,04-JUL-18,Daily,INFORMATICA
14,STG,s_m_STG_TRM_ZDT_VTTD,04-JUL-18,Daily,INFORMATICA
15,STG,s_m_STG_TRM_ZDT_WHGD,04-JUL-18,Daily,INFORMATICA
16,STG,s_m_STG_TRM_ZDT_WHHD,04-JUL-18,Daily,INFORMATICA
17,STG,s_m_STG_TRM_ZDT_ZA14_L,29-JAN-19,Daily,INFORMATICA
18,STG,s_m_STG_TRM_ZDT_ZA90_L,15-APR-19,Daily,INFORMATICA
19,STG,s_m_STG_TRM_ZDT_ZA91_L,15-APR-19,Daily,INFORMATICA
20,STG,s_m_STG_TRM_ZDT_ZA92_L,15-APR-19,Daily,INFORMATICA
21,STG,s_m_STG_TRM_ZDT_ZA93_L,15-APR-19,Daily,INFORMATICA
22,STG,s_m_STG_TRM_ZDT_ZA94_L,15-APR-19,Daily,INFORMATICA
23,STG,s_m_STG_TRM_ZDV_ICR,04-JUL-18,Daily,INFORMATICA
24,STG,s_m_STG_TRM_ZKTE_RETURN,02-OCT-18,Daily,INFORMATICA
25,STG,s_m_STG_TRM_ZKTN_RETURN,10-OCT-18,Daily,INFORMATICA
26,STG,s_m_STG_TRM_ZDC_RGIC_EXCP,19-DEC-19,Daily,INFORMATICA
27,STG,s_m_STG_TRM_ZDGD_FORM10_HD,25-DEC-19,Daily,INFORMATICA
28,STG,s_m_STG_TRM_ZDGD_FORM11_HD,25-DEC-19,Daily,INFORMATICA
29,STG,s_m_STG_TRM_ZDGD_FZ12_HD,25-DEC-19,Daily,INFORMATICA
30,STG,,24-FEB-20,Daily,INFORMATICA
31,STG,,20-FEB-20,Daily,INFORMATICA
32,STG,s_m_STG_TRM_ZDT_ZA15_L,13-FEB-20,Daily,INFORMATICA
33,STG,s_m_STG_TRM_ADR2,04-JUL-18,Daily,INFORMATICA
34,STG,s_m_STG_TRM_ADR3,04-JUL-18,Daily,INFORMATICA
35,STG,s_m_STG_TRM_ADR4,04-JUL-18,Daily,INFORMATICA
36,STG,s_m_STG_TRM_ADR6,04-JUL-18,Daily,INFORMATICA
37,STG,s_m_STG_TRM_ADRC,04-JUL-18,Daily,INFORMATICA
38,STG,s_m_STG_TRM_ADRCT,04-JUL-18,Daily,INFORMATICA
39,STG,s_m_STG_TRM_BNKA,14-JAN-19,Daily,INFORMATICA
40,STG,s_m_STG_TRM_BSIS,03-DEC-18,Daily,INFORMATICA
41,STG,s_m_STG_TRM_BUT000,04-JUL-18,Daily,INFORMATICA
42,STG,s_m_STG_TRM_BUT020,04-JUL-18,Daily,INFORMATICA
43,STG,s_m_STG_TRM_BUT021_FS,04-JUL-18,Daily,INFORMATICA
44,STG,s_m_STG_TRM_BUT050,04-JUL-18,Daily,INFORMATICA
45,STG,s_m_STG_TRM_BUT0BK,04-JUL-18,Daily,INFORMATICA
46,STG,s_m_STG_TRM_BUT100,04-JUL-18,Daily,INFORMATICA
47,STG,s_m_STG_TRM_CEPC,04-JUL-18,Daily,INFORMATICA
48,STG,s_m_STG_TRM_CRM_JCDS,04-JUL-18,Daily,INFORMATICA
49,STG,s_m_STG_TRM_CRM_JEST,04-JUL-18,Daily,INFORMATICA
50,STG,s_m_STG_TRM_DD07V,04-JUL-18,Daily,INFORMATICA
51,STG,s_m_STG_TRM_DFACTS,04-JUL-18,Daily,INFORMATICA
52,STG,s_m_STG_TRM_DFKKCOH,04-JUL-18,Daily,INFORMATICA
53,STG,s_m_STG_TRM_DFKKCOHI,28-NOV-18,Daily,INFORMATICA
54,STG,s_m_STG_TRM_DFKKCOHINCORR,29-NOV-18,Daily,INFORMATICA
55,STG,s_m_STG_TRM_DFKKKO,20-NOV-18,Daily,INFORMATICA
56,STG,s_m_STG_TRM_DFKKKO,20-NOV-18,Daily,INFORMATICA
57,STG,s_m_STG_TRM_DFKKLOCKS,02-DEC-18,Daily,INFORMATICA
58,STG,s_m_STG_TRM_DFKKOP,20-NOV-18,Daily,INFORMATICA
59,STG,s_m_STG_TRM_DFKKOPK,20-NOV-18,Daily,INFORMATICA
60,STG,s_m_STG_TRM_DFKKRAPT,28-NOV-18,Daily,INFORMATICA
61,STG,s_m_STG_TRM_DFKKRH,28-NOV-18,Daily,INFORMATICA
62,STG,s_m_STG_TRM_DFKKZK,28-NOV-18,Daily,INFORMATICA
63,STG,s_m_STG_TRM_DFKKZP,28-NOV-18,Daily,INFORMATICA
64,STG,s_m_STG_TRM_DFMCA_FORMS,04-JUL-18,Daily,INFORMATICA
65,STG,,27-MAY-19,Daily,INFORMATICA
66,STG,s_m_STG_TRM_DFMCA_RETURN,04-JUL-18,Daily,INFORMATICA
67,STG,s_m_STG_TRM_DPSOB_BP_ACC,04-JUL-18,Daily,INFORMATICA
68,STG,,21-OCT-18,Daily,INFORMATICA
69,STG,s_m_STG_TRM_FKKMAKO,29-NOV-18,Daily,INFORMATICA
70,STG,s_m_STG_TRM_FKKMAZE,29-NOV-18,Daily,INFORMATICA
71,STG,s_m_STG_TRM_FKKVK,27-NOV-18,Daily,INFORMATICA
72,STG,s_m_STG_TRM_FKKVKP,04-JUL-18,Daily,INFORMATICA
73,STG,s_m_STG_TRM_FKK_INSTPLN_HEAD,30-DEC-18,Daily,INFORMATICA
74,STG,s_m_STG_TRM_FKK_INSTPLN_HIST,30-DEC-18,Daily,INFORMATICA
75,STG,s_m_STG_TRM_GL_ACCT_CA_TEXT,25-NOV-18,Daily,INFORMATICA
76,STG,s_m_STG_TRM_GL_ACCT_CC_TEXT,25-NOV-18,Daily,INFORMATICA
77,STG,s_m_STG_TRM_ITXE_RETURN,04-OCT-18,Daily,INFORMATICA
78,STG,s_m_STG_TRM_ITXN_RETURN,10-OCT-18,Daily,INFORMATICA
79,STG,s_m_STG_TRM_ITZC_RETURN,02-OCT-18,Daily,INFORMATICA
80,STG,s_m_STG_TRM_ITZK_RETURN,10-OCT-18,Daily,INFORMATICA
81,STG,s_m_STG_TRM_SCMGATTR_CATEGOT,02-DEC-18,Daily,INFORMATICA
82,STG,s_m_STG_TRM_SCMGATTR_PRIOT,02-DEC-18,Daily,INFORMATICA
83,STG,s_m_STG_TRM_SCMGATTR_REASONT,02-DEC-18,Daily,INFORMATICA
84,STG,s_m_STG_TRM_SCMGATTR_SESCALT,02-DEC-18,Daily,INFORMATICA
85,STG,s_m_STG_TRM_SCMGAUT_SECLEVLT,02-DEC-18,Daily,INFORMATICA
86,STG,s_m_STG_TRM_SCMGCASETYPE,29-NOV-18,Daily,INFORMATICA
87,STG,s_m_STG_TRM_SCMGCASETYPET,19-DEC-18,Daily,INFORMATICA
88,STG,s_m_STG_TRM_SCMGPDIR_CLNT,02-DEC-18,Daily,INFORMATICA
89,STG,s_m_STG_TRM_SCMGSTATPROFS,02-DEC-18,Daily,INFORMATICA
90,STG,s_m_STG_TRM_SCMGSTATPROFST,02-DEC-18,Daily,INFORMATICA
91,STG,s_m_STG_TRM_SCMGSTATPROFT,03-DEC-18,Daily,INFORMATICA
92,STG,s_m_STG_TRM_SCMGSTATT,02-DEC-18,Daily,INFORMATICA
93,STG,s_m_STG_TRM_SCMG_T_CASE,29-NOV-18,Daily,INFORMATICA
94,STG,s_m_STG_TRM_SCMG_T_CASE_ATTR,02-DEC-18,Daily,INFORMATICA
95,STG,s_m_STG_TRM_SKAT,25-NOV-18,Daily,INFORMATICA
96,STG,s_m_STG_TRM_SKB1,28-NOV-18,Daily,INFORMATICA
97,STG,s_m_STG_TRM_SRMPROTOCOL,26-DEC-18,Daily,INFORMATICA
98,STG,,04-JUL-18,Daily,INFORMATICA
99,STG,,22-NOV-18,Daily,INFORMATICA
100,STG,,22-NOV-18,Daily,INFORMATICA
101,STG,s_m_STG_TRM_T005S,04-JUL-18,Daily,INFORMATICA
102,STG,s_m_STG_TRM_T005T,04-JUL-18,Daily,INFORMATICA
103,STG,s_m_STG_TRM_T006,07-OCT-18,Daily,INFORMATICA
104,STG,s_m_STG_TRM_T006A,09-OCT-18,Daily,INFORMATICA
105,STG,s_m_STG_TRM_T006T,04-OCT-18,Daily,INFORMATICA
106,STG,s_m_STG_TRM_TB003T,04-JUL-18,Daily,INFORMATICA
107,STG,s_m_STG_TRM_TB004T,04-JUL-18,Daily,INFORMATICA
108,STG,s_m_STG_TRM_TB006,04-JUL-18,Daily,INFORMATICA
109,STG,s_m_STG_TRM_TB010,04-JUL-18,Daily,INFORMATICA
110,STG,s_m_STG_TRM_TB020,04-JUL-18,Daily,INFORMATICA
111,STG,s_m_STG_TRM_TB027T,04-JUL-18,Daily,INFORMATICA
112,STG,s_m_STG_TRM_TB032T,04-JUL-18,Daily,INFORMATICA
113,STG,s_m_STG_TRM_TB037T,04-JUL-18,Daily,INFORMATICA
114,STG,s_m_STG_TRM_TB038,04-JUL-18,Daily,INFORMATICA
115,STG,s_m_STG_TRM_TB038A,04-JUL-18,Daily,INFORMATICA
116,STG,s_m_STG_TRM_TB038B,04-JUL-18,Daily,INFORMATICA
117,STG,s_m_STG_TRM_TB038T,04-JUL-18,Daily,INFORMATICA
118,STG,s_m_STG_TRM_TB039B,04-JUL-18,Daily,INFORMATICA
119,STG,s_m_STG_TRM_TB905,21-MAR-19,Daily,INFORMATICA
120,STG,s_m_STG_TRM_TB905T,21-MAR-19,Daily,INFORMATICA
121,STG,s_m_STG_TRM_TBZ9A,04-JUL-18,Daily,INFORMATICA
122,STG,s_m_STG_TRM_TFACT_CATT,04-JUL-18,Daily,INFORMATICA
123,STG,s_m_STG_TRM_TFACT_SETT,04-JUL-18,Daily,INFORMATICA
124,STG,s_m_STG_TRM_TFACT_TYPET,04-JUL-18,Daily,INFORMATICA
125,STG,s_m_STG_TRM_TFK001AT,27-NOV-18,Daily,INFORMATICA
126,STG,s_m_STG_TRM_TFK001PT,04-JUL-18,Daily,INFORMATICA
127,STG,s_m_STG_TRM_TFK002AT,04-JUL-18,Daily,INFORMATICA
128,STG,s_m_STG_TRM_TFK003T,25-NOV-18,Daily,INFORMATICA
129,STG,s_m_STG_TRM_TFK047UT,29-NOV-18,Daily,INFORMATICA
130,STG,s_m_STG_TRM_TFK047XT,06-DEC-18,Daily,INFORMATICA
131,STG,s_m_STG_TRM_TFK068FT,04-JUL-18,Daily,INFORMATICA
132,STG,s_m_STG_TRM_TFK070AT,04-JUL-18,Daily,INFORMATICA
133,STG,s_m_STG_TRM_TFK070PT,17-DEC-18,Daily,INFORMATICA
134,STG,s_m_STG_TRM_TFK080BT,08-APR-19,Daily,INFORMATICA
135,STG,s_m_STG_TRM_TFK080FT,08-APR-19,Daily,INFORMATICA
136,STG,s_m_STG_TRM_TFKHVOT,25-NOV-18,Daily,INFORMATICA
137,STG,s_m_STG_TRM_TFKPERIOD,04-JUL-18,Daily,INFORMATICA
138,STG,s_m_STG_TRM_TFKPERIODICITY,07-OCT-18,Daily,INFORMATICA
139,STG,s_m_STG_TRM_TFKPERIODICITYT,07-OCT-18,Daily,INFORMATICA
140,STG,s_m_STG_TRM_TFKTVOT,25-NOV-18,Daily,INFORMATICA
141,STG,s_m_STG_TRM_TFK_INCORRT,04-JUL-18,Daily,INFORMATICA
142,STG,s_m_STG_TRM_TFMCA007T,04-JUL-18,Daily,INFORMATICA
143,STG,s_m_STG_TRM_TFMCA_AMD_SRCT,04-JUL-18,Daily,INFORMATICA
144,STG,s_m_STG_TRM_TFMCA_FORMPROC,04-JUL-18,Daily,INFORMATICA
145,STG,s_m_STG_TRM_TFMCA_FORMPROCT,04-JUL-18,Daily,INFORMATICA
146,STG,s_m_STG_TRM_TFMCA_FPF_FBT,04-JUL-18,Daily,INFORMATICA
147,STG,s_m_STG_TRM_TFMCA_FPF_FBTT,04-JUL-18,Daily,INFORMATICA
148,STG,s_m_STG_TRM_TFMCA_FPF_FBTTRA,04-JUL-18,Daily,INFORMATICA
149,STG,s_m_STG_TRM_TFMCA_FPF_TRANTT,04-JUL-18,Daily,INFORMATICA
150,STG,s_m_STG_TRM_TFMCA_FPF_WFRSN,04-JUL-18,Daily,INFORMATICA
151,STG,s_m_STG_TRM_TFMCA_FPF_WFRSNT,04-JUL-18,Daily,INFORMATICA
152,STG,s_m_STG_TRM_TFMCA_INCORR_PER,04-JUL-18,Daily,INFORMATICA
153,STG,s_m_STG_TRM_TFMCA_REVTYPE,04-JUL-18,Daily,INFORMATICA
154,STG,s_m_STG_TRM_TFMCA_REVTYPET,04-JUL-18,Daily,INFORMATICA
155,STG,s_m_STG_TRM_TJ02T,04-JUL-18,Daily,INFORMATICA
156,STG,s_m_STG_TRM_TJ30T,04-JUL-18,Daily,INFORMATICA
157,STG,s_m_STG_TRM_TSACT,04-JUL-18,Daily,INFORMATICA
158,STG,s_m_STG_TRM_TSAD2,04-JUL-18,Daily,INFORMATICA
159,STG,s_m_STG_TRM_TSAD3T,04-JUL-18,Daily,INFORMATICA
160,STG,s_m_STG_TRM_UDMATTR_RCCODET,03-DEC-18,Daily,INFORMATICA
161,STG,s_m_STG_TRM_UDMCASEATTR10,02-DEC-18,Daily,INFORMATICA
162,STG,s_m_STG_TRM_UDM_FICA_REASONT,03-DEC-18,Daily,INFORMATICA
163,STG,s_m_STG_TRM_V_SOUCADCP,20-SEP-18,Daily,INFORMATICA
164,STG,s_m_STG_TRM_V_USR_NAME,04-JUL-18,Daily,INFORMATICA
165,STG,,16-OCT-18,Daily,INFORMATICA
166,STG,s_m_STG_TRM_WHTM_RETURN,08-OCT-18,Daily,INFORMATICA
167,STG,s_m_STG_TRM_ZBI_VERSION_HD,24-DEC-18,Daily,INFORMATICA
168,STG,s_m_STG_TRM_ZBI_VERSION_IT,24-DEC-18,Daily,INFORMATICA
169,STG,s_m_STG_TRM_ZDC_ACTIONS,30-DEC-18,Daily,INFORMATICA
170,STG,s_m_STG_TRM_ZDC_AMD_SRC,26-SEP-18,Daily,INFORMATICA
171,STG,s_m_STG_TRM_ZDC_AUD_ESC,19-DEC-18,Daily,INFORMATICA
172,STG,s_m_STG_TRM_ZDC_CBCR_DRDWT,15-APR-19,Daily,INFORMATICA
173,STG,s_m_STG_TRM_ZDC_CONT_TYPT,26-SEP-18,Daily,INFORMATICA
174,STG,s_m_STG_TRM_ZDC_DREG_REASONT,26-SEP-18,Daily,INFORMATICA
175,STG,s_m_STG_TRM_ZDC_EGPCT,20-SEP-18,Daily,INFORMATICA
176,STG,s_m_STG_TRM_ZDC_EGTCT,04-OCT-18,Daily,INFORMATICA
177,STG,s_m_STG_TRM_ZDC_EGTR,04-OCT-18,Daily,INFORMATICA
178,STG,s_m_STG_TRM_ZDC_ELGBLT,04-OCT-18,Daily,INFORMATICA
179,STG,s_m_STG_TRM_ZDC_ERGD,04-JUL-18,Daily,INFORMATICA
180,STG,s_m_STG_TRM_ZDC_ET_DREG_RSNT,07-OCT-18,Daily,INFORMATICA
181,STG,s_m_STG_TRM_ZDC_INSTITUTET,07-OCT-18,Daily,INFORMATICA
182,STG,s_m_STG_TRM_ZDC_ITEM,05-FEB-19,Daily,INFORMATICA
183,STG,s_m_STG_TRM_ZDC_MIGSTAT,27-DEC-18,Daily,INFORMATICA
184,STG,s_m_STG_TRM_ZDC_MOT,20-DEC-18,Daily,INFORMATICA
185,STG,s_m_STG_TRM_ZDC_NON,20-DEC-18,Daily,INFORMATICA
186,STG,s_m_STG_TRM_ZDC_OBJOUTCOME,27-DEC-18,Daily,INFORMATICA
187,STG,s_m_STG_TRM_ZDC_OBJTYP,26-DEC-18,Daily,INFORMATICA
188,STG,s_m_STG_TRM_ZDC_OTH,23-DEC-18,Daily,INFORMATICA
189,STG,s_m_STG_TRM_ZDC_RAVT_CUSTT,27-DEC-18,Daily,INFORMATICA
190,STG,s_m_STG_TRM_ZDC_RISK,20-DEC-18,Daily,INFORMATICA
191,STG,s_m_STG_TRM_ZDC_SADAD_RF_RES,02-DEC-18,Daily,INFORMATICA
192,STG,s_m_STG_TRM_ZDC_VAT_DREG_RSN,04-OCT-18,Daily,INFORMATICA
193,STG,s_m_STG_TRM_ZDC_VAT_VLDRULET,25-DEC-18,Daily,INFORMATICA
194,STG,s_m_STG_TRM_ZDC_VERSREPT_FLD,08-OCT-18,Daily,INFORMATICA
195,STG,s_m_STG_TRM_ZDC_VERSREPT_TXT,19-SEP-18,Daily,INFORMATICA
196,STG,s_m_STG_TRM_ZDC_VTQA,04-JUL-18,Daily,INFORMATICA
197,STG,s_m_STG_TRM_ZDC_VT_AMD_SRC,04-JUL-18,Daily,INFORMATICA
198,STG,s_m_STG_TRM_ZDC_ZKTE_DESCT,18-SEP-18,Daily,INFORMATICA
199,STG,s_m_STG_TRM_ZDD_AUH1,19-DEC-18,Daily,INFORMATICA
200,STG,s_m_STG_TRM_ZDD_AUI1,05-FEB-19,Daily,INFORMATICA
201,STG,s_m_STG_TRM_ZDD_AUI2,20-DEC-18,Daily,INFORMATICA
202,STG,s_m_STG_TRM_ZDD_CULG_H,13-SEP-18,Daily,INFORMATICA
203,STG,s_m_STG_TRM_ZDD_CULG_H_E,26-SEP-18,Daily,INFORMATICA
204,STG,s_m_STG_TRM_ZDD_CULG_I,13-SEP-18,Daily,INFORMATICA
205,STG,s_m_STG_TRM_ZDD_CULG_I_E,26-SEP-18,Daily,INFORMATICA
206,STG,s_m_STG_TRM_ZDD_EBCH,13-SEP-18,Daily,INFORMATICA
207,STG,s_m_STG_TRM_ZDD_EBCI,13-SEP-18,Daily,INFORMATICA
208,STG,s_m_STG_TRM_ZDD_ERTD,04-JUL-18,Daily,INFORMATICA
209,STG,s_m_STG_TRM_ZDD_ETHD,04-JUL-18,Daily,INFORMATICA
210,STG,s_m_STG_TRM_ZDD_ETIT,04-JUL-18,Daily,INFORMATICA
211,STG,s_m_STG_TRM_ZDD_GRGM,04-JUL-18,Daily,INFORMATICA
212,STG,s_m_STG_TRM_ZDD_MCI_CR,09-MAY-18,Daily,INFORMATICA
213,STG,s_m_STG_TRM_ZDD_RVHD,27-DEC-18,Daily,INFORMATICA
214,STG,s_m_STG_TRM_ZDD_RVSD,10-FEB-19,Daily,INFORMATICA
215,STG,s_m_STG_TRM_ZDD_VATR_AD,04-JUL-18,Daily,INFORMATICA
216,STG,s_m_STG_TRM_ZDD_VATR_CF,04-JUL-18,Daily,INFORMATICA
217,STG,s_m_STG_TRM_ZDD_VATR_HD,04-JUL-18,Daily,INFORMATICA
218,STG,s_m_STG_TRM_ZDD_VATR_IB,04-JUL-18,Daily,INFORMATICA
219,STG,s_m_STG_TRM_ZDD_VFBD,23-DEC-18,Daily,INFORMATICA
220,STG,s_m_STG_TRM_ZDD_VFHD,23-DEC-18,Daily,INFORMATICA
